iter	Passed	Remaining
948	22539	1211
949	22563	1187
950	22586	1163
951	22607	1139
952	22631	1116
953	22652	1092
954	22675	1068
955	22698	1044
956	22721	1020
957	22744	997
958	22771	973
959	22800	950
960	22831	926
961	22864	903
962	22886	879
963	22909	855
964	22931	831
965	22954	807
966	22976	784
967	22999	760
968	23020	736
969	23043	712
970	23066	688
971	23088	665
972	23110	641
973	23133	617
974	23156	593
975	23178	569
976	23202	546
977	23225	522
978	23247	498
979	23270	474
980	23292	451
981	23313	427
982	23336	403
983	23359	379
984	23383	356
985	23406	332
986	23429	308
987	23452	284
988	23475	261
989	23498	237
990	23520	213
991	23544	189
992	23566	166
993	23588	142
994	23612	118
995	23636	94
996	23661	71
997	23685	47
998	23707	23
999	23730	0
